iter	Passed	Remaining
0	1	172
1	3	162
2	4	156
3	6	146
4	7	133
5	7	121
6	8	112
7	9	105
8	9	100
9	10	94
10	11	90
11	11	87
12	12	83
13	13	80
14	13	78
15	14	75
16	15	73
17	15	71
18	16	69
19	17	68
20	17	66
21	18	65
22	19	63
23	19	62
24	20	61
25	21	60
26	22	60
27	23	59
28	23	58
29	24	56
30	25	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	42
44	34	42
45	35	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	39
51	41	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	27
66	55	27
67	55	26
68	56	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
